Ciudad,Nombre,Dirección,Latitud,Longitud
Portoviejo,TUTI MANTA LAS CUMBRES,"27HG+W9F, C. 291, Manta",-0.9701636,-80.7242327
Portoviejo,TuTi Bahía,"9HXG+4GP, Av. 3 de Noviembre, Bahía de Caráquez",-0.602166,-80.4236719
Portoviejo,TuTi AV. DEL EJÉRCITO,"WGRP+2Q7, Av. del Ejército, Portoviejo",-1.0599685,-80.4630668
Portoviejo,Tuti San Jorge,"WGJ8+4VP, E30, Portoviejo",-1.0696742,-80.48279649999999
Portoviejo,TuTi Rocafuerte,"3GFX+WHW, C. Pichincha, Rocafuerte",-0.9251091,-80.4510627
Portoviejo,TuTi,"X84Q+MMG, Av. Metropolitana, Montecristi",-1.0428543,-80.6605579
Portoviejo,TuTi EL PALMAR,"Rocafuerte en las inmediaciones del Aeropuerto, Vía Manta - Jaramijo, Manta",-0.9611888999999999,-80.6880903
Portoviejo,TuTi CANTÓN Santa Ana,"C. Horacio Hidrovo Velasquez 0209, Santa Ana",-1.2083901,-80.37102790000002
Portoviejo,TuTi PICOAZÁ,"XG86+4VM, Av. 5 De Junio, Portoviejo",-1.0346576,-80.4878282
Portoviejo,TuTi Terminal,"WGQR+CMX, Pedro Gual, Portoviejo",-1.061391,-80.4582557
Portoviejo,TuTi Jaramijó,"29X6+R48, C. 23 de Octubre, Jaramijó",-0.9504579,-80.63964190000002
Portoviejo,TuTi LOS BAJOS,"W89C+37C, Portoviejo",-1.0823073,-80.679356
Portoviejo,TuTi Primero de Mayo,"XG5J+QR4, Atanacio Santos, Portoviejo",-1.0406199,-80.46793679999999
Portoviejo,TuTi MANTA TARQUI,"27WM+HM2, Avenida 108, Manta",-0.9536048,-80.7158493
Portoviejo,TuTi ROCAFUERTE LA Y,"3HJ4+M26, Rocafuerte, Manta",-0.9183495,-80.44499429999999
Portoviejo,TuTi OLMEDO,"Y DON PANCHO, OLMEDO CALLE SAN ANDRES, ENTRE",-1.3961202,-80.21099009999999
Portoviejo,TuTi Av. Manabí,"Callejon Robles 130103, Portoviejo",-1.0515815,-80.46129599999999
Portoviejo,TuTi LOS ESTEROS,"C. 119 119, Manta",-0.9494747000000001,-80.70271629999999
Portoviejo,TuTi CHONE AV. AMAZONAS,"7WR2+VM6, Chone",-0.7078458999999999,-80.0983748
Portoviejo,TuTi El Redondel,"JCV5+CPC, Jipijapa",-1.3565001,-80.5907909
Portoviejo,TuTi BADARACCO,"27Q4+M8V, Manta",-0.9608359999999999,-80.7442109
Portoviejo,TuTi Montecristi Leonidas Proaño,2834+F8X,-0.9962299999999998,-80.6941578
Portoviejo,TuTi Las Orquideas,"WGR9+M57, C. D-1, Portoviejo",-1.0583449,-80.4820608
Portoviejo,Tuti del redondel del Paraiso,"27VX+FQ3, Avenida 108, Manta",-0.9563559,-80.7005741
Portoviejo,TuTi,"Av Flavio Reyes 1714, Manta",-0.9451991,-80.7301653
